COMPUTE_CENTROID	WOZ	BEDR_KLAS	P_WW_UIT	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_0_14_JR	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	WW_UIT_TOT	P_INDUSTRI	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	AANT_MAN	AUTO_MUT	STED	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
254.6094370212393 341.6794962727566	120	8	25	2090	12	1	4	790	3	1	14	36	-999999999	19	35	712	2199	5	15120	1666	303	GM0512	0	89	Gorinchem	.	1826	1896	10	600	19	13495	24	0.8	2070	2.3	5	85	65	15095	9	17030	1	2	17	20	32	17600	14	29	34620
213.027036772255 386.25532722833714	129	9	23	3510	12	1	8	1945	2	1	13	34	-999999999	20	37	3426	1810	1	30560	2332	119	GM0513	-1	72	Gouda	.	4244	1692	24	1100	16	57975	25	1.8	11540	2.3	5	71	64	30140	7	35000	0	2	20	20	31	36800	13	29	71800
196.78369388449178 325.1941249176332	128	6	15	300	12	0	0	310	2	0	14	24	-999999999	17	40	202	2069	0	3640	865	177	GM0517	2	49	's-Gravendeel	.	469	1892	68	100	23	3820	28	1.0	735	2.4	12	21	64	3620	4	4440	2	4	13	30	29	4440	3	36	8880
150.60315959754422 400.286179142642	102	9	28	26170	12	2	5	7490	8	10	14	48	-999999999	18	29	1970	9822	7	235730	4690	1554	GM0518	-2	82	's-Gravenhage	.	5674	8268	73	9070	13	162865	23	0.6	18190	2.0	4	22	67	228240	12	229540	1	1	20	65	33	239520	31	23	469060
235.22529160993074 340.35030876285595	137	7	10	590	13	0	0	520	1	0	14	22	-999999999	22	45	427	1935	0	6480	864	245	GM0523	-4	51	Hardinxveld-Giessendam	.	1055	1691	10	120	34	7225	23	1.1	1565	2.7	0	90	54	6585	3	8820	0	4	11	30	29	9010	2	32	17830
267.7341543031097 563.5879010682987	145	6	20	700	11	0	0	615	1	0	11	22	-999999999	20	43	94	5059	0	4090	187	87	GM0529	-3	97	Noorder-Koggenland	.	211	4973	30	140	28	4695	31	1.1	1075	2.6	14	56	51	4090	6	5280	1	5	21	170	27	5220	2	35	10500
124.46228232171889 345.1947652569379	128	8	24	1860	12	2	0	1415	3	1	11	26	-999999999	19	41	535	4614	2	16500	1552	1456	GM0530	-1	65	Hellevoetsluis	.	1272	3157	54	680	17	16885	29	1.0	2045	2.4	6	40	63	16155	9	20030	2	2	19	50	30	20130	8	33	40160
202.15381348009007 342.93862228492355	135	7	15	750	11	0	1	535	3	1	13	23	-999999999	22	43	881	1199	1	8890	1392	126	GM0531	-2	51	Hendrik-Ido-Ambacht	.	2140	1073	90	260	20	9460	24	1.0	1155	2.6	5	5	65	8750	6	11370	6	3	15	20	29	11590	6	33	22970
293.5722386364511 557.4416793258702	115	7	23	1610	12	0	0	825	2	1	11	23	-999999999	20	44	531	1642	0	8220	999	165	GM0532	-1	111	Stede Broec	.	1448	1477	95	330	26	7835	28	0.9	1070	2.6	0	5	56	8210	5	10790	3	4	18	75	28	10600	4	34	21390
193.86084175390008 456.93114717132653	159	7	20	1180	12	0	1	855	2	0	15	30	-999999999	18	39	724	1348	0	8500	1334	60	GM0534	-1	84	Hillegom	.	1599	1287	92	270	19	9325	27	1.0	1545	2.4	3	5	66	8425	8	10120	0	3	15	85	29	10460	5	31	20590
167.74516432441993 431.78623737712405	160	8	15	1880	14	0	1	965	2	0	13	28	-999999999	20	44	1030	1924	1	15880	2006	551	GM0537	-2	68	Katwijk	.	3045	1374	85	370	24	14150	24	0.8	1900	2.6	0	15	61	15980	4	20730	2	2	15	25	28	21090	4	28	41820
